 Ó vem logo, Jesus ; 5573
 Ó vinde adorar ; 7779
 Ó vinde e adoremos ; 7700
 Oh! Contemplai ; 6660
 Oh! Pensai nesse lar lá do céu; 5566
 Oh! Por que duvidar? ; 3318
 Oh! Quanto almejo estar ; 5572
 Oh! Quão bom e quão suave é; 4446
 Oh! Quão cego andei e perdido vaguei ; 2214
 Oh! Que belos hinos hoje lá no céu ; 1173
 Oh! Que precioso sangue ; 30
 Oh! Que sangue poderoso ; 40
 Oh! Que saudosa lembrança ; 5556
 Olhai para o alto ; 1160
 Onde está o Cordeiro? ; 1127
 Onde estaria eu? ; 2201
 Onde nasceu Jesus? ; 9912
 Onde quer que tu fores irei, Jesus ; 9026
 Onde vive o Rei da glória? ; 9003
 Onipotente Deus ; 7718
 Ontem, hoje e para sempre ; 9928
 Os céus em breve se abrirão ; 5532
 Os céus proclamam ; 7708
 Os guerreiros se preparam ; 3315
 Os que confiam no Senhor ; 3358
 Os segredos do teu coração ; 4404
 Os seus cabelos brancos ; 5529
 Os sinais do fim se cumprem ; 5505
 Ouço a voz do meu amado me chamar ; 4451
 Ouço o clamor do bom Pastor ; 9943
 Ouço uma voz tão suave ; 5523
 Ouve a voz de Jesus ; 1140
 Ouve, ó Deus ; 3339
 Ouve, pois, Israel ; 7767
 Ouvi como que a voz de uma grande multidão ; 7782
 Ouvi o Salvador dizer ; 7810
 Ouvi, ó céus, e falarei ; 4432
 Pai celeste; 9918
 Pai de amor, gosto tanto de ti ; 6611
 Pai, a ti entrego o meu espírito ; 1105
 Pai, estou a te clamar ; 9902
 Pai, tua beleza me admira ; 9012
 Para os montes olharei ; 3351
 Para quem iremos nós? ; 1178
 Pátria minha ; 5579
 Pedra de esquina ; 2280
 Pela fé eu caminho ; 2234
 Pela fé eu posso contemplar Jesus ; 2299
 Pela fé somos salvos ; 2210
 Pelas praias galiléias vem Jesus ; 4435
 Pelo sangue de Jesus ; 8
 Pelo sangue de Jesus irei clamar ; 38
 Pelo vale escuro seguirei Jesus ; 3316
 Perdido foi que ele me encontrou ; 2209
 Peregrinando por sobre os montes ; 2233
 Perfeito amor eu conheci ; 7793
 Põe teu sangue sobre mim ; 13
 Por amor ; 1121
 Por amor Jesus morreu ; 1120
 Por onde quer que eu vá ; 1150
 Preciosas são as horas ; 564
 Príncipe da paz ; 9954
 Profundos vales eu terei de passar ; 3317
 Prostrado estou diante de ti ; 18
 Purificado com sangue estou ; 9900
 Qual madeira ; 4418
 Qual o adorno desta vida? ; 4402
 Quando a angelical trombeta ; 5541
 Quando a angústia vem ; 3328
 Quando a mão de Deus em mim veio tocar ; 2238
 Quando a tristeza surgir ; 3307
 Quando a última trombeta ecoar ; 5540
 Quando andava no mundo escravizado ;2211
 Quando as lutas me cercam ; 3384
 Quando buscamos ; 34
 Quando dobro os meus joelhos em oração ; 4473
 Quando falo com Deus ; 9948
 Quando Israel saiu do Egito ; 2290
 Quando Jesus provou o seu amor por mim ; 7797
 Quando Jesus seu sangue verteu ; 1177
 Quando Jesus um dia ; 2292
 Quando lá do céu descendo ; 5526
 Quando mais ninguém te compreende ; 3391
 Quando meu tempo de luta passar ; 3374
 Quando o dia amanhece ; 559
 Quando o Jordão passarmos unidos ; 5563
 Quando o mundo aqui deixar ; 5558
 Quando os céus estou a contemplar ; 7798
 Quando parece que tudo acabou ; 3306
 Quando te prostrares ; 4
 Quando vem nos olhos uma lágrima; 3327
 Quanto mais eu te conheço (Caminho feliz) ; 4475
 Quantos fiéis, Senhor; 4482
 Quão amáveis são ; 7720
 Quão bondoso amigo é Cristo ; 3331
 Quão doce e meigo é ouvir ; 7755
 Que alegria; 6663
 Que as palavras da minha boca ; 4415
 Que calor é este em volta do altar? ; 8818
 Que consolação ; 3353
 Que dia feliz ; 5544
 Que doce voz tem meu Senhor; 2251
 Que grande reunião convocada ali ; 7813
 Que importa ; 3323
 Que queres que eu te faça? ; 9975
 Que segurança tenho em Jesus ; 2246
 Que vista amável é (Salmo 132) ; 4444
 Quem beber da água que eu lhe der ; 1136
 Quem cantar aqui se alegrará ; 8826
 Quem é como tu? ; 7799
 Quem é esta que aparece ; 5538
 Quem é que dá água ao sedento? ; 3388
 Quem era eu antes de conhecer ; 2204
 Quem irá? (Preciosa semente); 9977
 Quem me dá água ; 1135
 Quem me dera ; 5502
 Queres ir pra glória?; 1172
 Queres neste mundo ser um vencedor? ; 3370
 Quero andar em teu caminho, Senhor ; 7796
 Quero estar ao pé da cruz ; 1193
 Quero prosseguir ; 2235
 Quero que me toques, Senhor ; 4472
